arrtm dadtyp day deptm dorp dpcl dpurp dtaz endacttm half hhno id mode oadtyp opcl opurp otaz pathtype pno tour tour_id travcost travdist travtime trexpfac tseg tsvid vot
1140 4 1 1125 2 943602 3 1308 1140 1 14100212 44535 4 1 939375 0 255 1 2 2 3021 1.808 9 22 364.157515224 1 3 10
475 2 1 460 -1 1067461 1 947 1035 1 14100212 44533 2 1 939375 0 255 1 2 1 3020 0 1.65 11 364.157515224 1 1 12
1155 1 1 1140 2 939375 0 255 1440 2 14100212 44536 5 4 943602 3 1308 1 2 2 3021 1.804 9 22 364.157515224 1 4 12
410 2 1 395 1 840380 1 1301 920 1 14100213 44520 3 1 934365 0 400 1 1 1 3022 1.968 11 20 279.515325488 1 1 34
665 1 1 650 1 934365 0 400 770 2 14100213 44526 3 4 902754 5 647 1 2 2 3025 1.146 5 10 318.924849323 1 3 10
625 4 1 605 1 902754 5 647 650 1 14100213 44525 3 4 943917 4 427 1 2 2 3025 1.366 6 11 318.924849323 2 2 10
935 1 1 920 1 934365 0 400 960 2 14100213 44521 3 2 840380 1 1301 1 1 1 3022 1.914 10 21 279.515325488 1 2 34
1090 1 1 1080 1 934365 0 400 1440 2 14100213 44528 3 2 685804 1 101 1 2 1 3024 0.78 2 6 318.924849323 1 5 34
965 4 1 960 -1 1194542 7 432 990 1 14100213 44522 1 1 934365 0 400 1 1 2 3023 0 1.4 28 279.515325488 1 3 10
605 4 1 600 1 943917 4 427 605 1 14100213 44524 3 1 934365 0 400 1 2 2 3025 0.280815555556 1 4 318.924849323 1 1 10
780 2 1 770 1 685804 1 101 1080 1 14100213 44527 3 1 934365 0 400 1 2 1 3024 0.776 2 6 318.924849323 1 4 34
995 1 1 990 -1 934365 0 400 1440 2 14100213 44523 1 4 1194542 7 432 1 1 2 3023 0 1.4 28 279.515325488 1 4 10
555 4 1 540 1 788167 4 131 570 1 14100214 44518 3 1 1252435 0 370 1 1 1 3026 0.606 2 5 319.871617867 1 1 6
585 1 1 570 1 1252435 0 370 1440 2 14100214 44519 3 4 788167 4 131 1 1 1 3026 0.580647954545 2 5 319.871617867 1 2 6
665 4 1 650 -1 1125883 4 1038 695 1 14100216 44510 6 1 879886 0 130 3 1 1 3029 2.25 3 8 204.874545705 1 1 5
780 4 1 770 -1 788167 4 131 840 1 14100216 44512 1 1 879886 0 130 1 1 2 3030 0 0.5 10 204.874545705 1 3 5
710 1 1 695 -1 879886 0 130 770 2 14100216 44511 6 4 1125883 4 1038 3 1 1 3029 2.25 3 8 204.874545705 1 2 5
850 1 1 840 -1 879886 0 130 1440 2 14100216 44513 1 4 788167 4 131 1 1 2 3030 0 0.5 10 204.874545705 1 4 5
1180 1 1 1160 -1 742562 0 38 1220 2 14100217 44507 9 2 1067461 1 947 1 1 1 3031 1.148 4 12 158.223897211 1 2 34
1230 4 1 1220 -1 903309 5 186 1280 1 14100217 44508 1 1 742562 0 38 1 1 2 3032 0 0.5 10 158.223897211 1 3 10
620 2 1 600 -1 1067461 1 947 1160 1 14100217 44506 9 1 742562 0 38 1 1 1 3031 1.09 4 13 158.223897211 1 1 34
1290 1 1 1280 -1 742562 0 38 1440 2 14100217 44509 1 4 903309 5 186 1 1 2 3032 0 0.5 10 158.223897211 1 4 10
