arrtm dadtyp day deptm dorp dpcl dpurp dtaz endacttm half hhno id mode oadtyp opcl opurp otaz pathtype pno tour tour_id travcost travdist travtime trexpfac tseg tsvid vot
980 1 1 975 1 704033 0 1343 1440 2 300137 53965 4 4 895146 5 1343 1 1 1 43 0.347087727273 1 7 4.88375 2 3 20
390 4 1 365 -1 829676 1 1257 660 1 300142 53957 1 1 1222609 0 1253 1 1 1 44 0 4.75 95 18.8 1 1 6
690 4 1 660 -1 829219 1 1251 725 1 300142 53958 1 4 829676 1 1257 1 1 1 44 0 5.3 106 18.8 2 2 6
755 4 1 725 -1 829676 1 1257 840 1 300142 53959 1 4 829219 1 1251 1 1 1 44 0 5.3 106 18.8 3 3 6
900 4 1 840 -1 797163 1 1259 1035 1 300142 53960 6 4 829676 1 1257 3 1 1 44 1.125 4 19 18.8 4 4 6
1080 2 1 1035 -1 1078364 2 1253 1200 1 300142 53961 1 4 797163 1 1259 1 1 1 44 0 7.2 144 18.8 5 5 6
1205 1 1 1200 -1 1222609 0 1253 1440 2 300142 53962 1 2 1078364 2 1253 1 1 1 44 0 0.25 5 18.8 1 6 6
995 4 1 920 -1 1223110 5 1245 1045 1 300148 53955 6 1 716132 0 1253 3 1 1 45 1.125 5 22 18.33375 1 1 6
1105 1 1 1045 -1 716132 0 1253 1440 2 300148 53956 6 4 1223110 5 1245 3 1 1 45 1.125 5 22 18.33375 1 2 6
450 4 1 375 -1 919985 1 1270 905 1 300155 53946 6 1 1160603 0 1244 3 1 1 46 1.125 14 34 17.43625 1 1 12
995 1 1 905 -1 1160603 0 1244 1050 2 300155 53947 6 4 919985 1 1270 3 1 1 46 1.125 13 32 17.43625 1 2 12
1065 4 1 1050 -1 1078579 4 1256 1070 1 300155 53948 9 1 1160603 0 1244 1 1 2 47 0.46274 6 23 17.43625 1 3 6
1075 2 1 1070 -1 1078365 6 1253 1080 1 300155 53949 1 4 1078579 4 1256 1 1 2 47 0 4.2 84 17.43625 2 4 6
1085 2 1 1080 -1 1078364 2 1253 1170 1 300155 53950 1 2 1078365 6 1253 1 1 2 47 0 0.25 5 17.43625 3 5 6
1175 2 1 1170 -1 1078443 4 1256 1180 2 300155 53951 1 2 1078364 2 1253 1 1 2 47 0 4.2 84 17.43625 1 6 6
1215 1 1 1180 -1 1160603 0 1244 1245 2 300155 53952 6 2 1078443 4 1256 3 1 2 47 1.125 6 23 17.43625 2 7 6
1255 4 1 1245 -1 922539 7 1244 1255 1 300155 53953 1 1 1160603 0 1244 1 1 3 48 0 1.8 36 17.43625 1 8 6
1265 1 1 1255 -1 1160603 0 1244 1440 2 300155 53954 1 4 922539 7 1244 1 1 3 48 0 1.8 36 17.43625 1 9 6
455 2 1 425 -1 1078364 2 1253 700 1 300157 53944 3 1 692128 0 1269 1 1 1 49 1.43 10 30 5.20125 1 1 6
745 1 1 700 -1 692128 0 1269 1440 2 300157 53945 3 2 1078364 2 1253 1 1 1 49 1.426 9 26 5.20125 1 2 6
615 2 1 560 -1 1030279 2 1269 870 1 300165 53939 6 1 1223812 0 1262 3 1 1 50 1.125 5 21 4.88375 1 1 6
905 1 1 870 -1 1223811 0 1262 905 2 300165 53940 6 2 1030279 2 1269 3 1 1 50 1.125 5 21 4.88375 1 2 6
910 4 1 905 -1 751674 4 1259 915 1 300165 53941 1 1 1223812 0 1262 1 1 2 51 0 4.2 84 4.88375 1 3 6
925 4 1 915 -1 1225339 5 1264 940 1 300165 53942 1 4 751674 4 1259 1 1 2 51 0 4.6 92 4.88375 2 4 6
960 1 1 940 -1 1223811 0 1262 1440 2 300165 53943 1 4 1225339 5 1264 1 1 2 51 0 4.7 94 4.88375 1 5 6
1145 1 1 1140 -1 1113228 5 1256 1170 2 300166 53938 1 2 1222518 2 1256 1 1 1 52 0 0.55 11 5.20125 1 2 6
1080 2 1 1070 -1 1222518 2 1256 1140 1 300166 53937 1 1 1115715 0 1256 1 1 1 52 0 0.55 11 5.20125 1 1 6
415 4 1 400 -1 1233104 1 1265 1025 1 300178 53935 2 1 1115203 0 1266 1 1 1 53 0 4.35 29 4.88375 1 1 12
1040 1 1 1025 -1 1115203 0 1266 1440 2 300178 53936 2 4 1233104 1 1265 1 1 1 53 0 4.35 29 4.88375 1 2 12
810 1 1 780 -1 1064775 0 1269 1440 2 300179 53934 1 2 932775 2 1269 1 1 1 54 0 1.7 34 4.88375 1 2 6
540 2 1 510 -1 932775 2 1269 780 1 300179 53933 1 1 1064775 0 1269 1 1 1 54 0 1.7 34 4.88375 1 1 6
470 4 1 410 -1 751649 1 1259 840 1 300183 53929 6 1 979252 0 1244 3 1 1 55 1.125 9 29 5.20125 1 1 12
885 4 1 840 -1 1206166 1 1244 990 2 300183 53930 6 4 751649 1 1259 3 1 1 55 1.125 9 28 5.20125 1 2 12
1020 4 1 990 -1 796716 1 1244 1180 2 300183 53931 6 4 1206166 1 1244 3 1 1 55 1.125 1 9 5.20125 2 3 12
1185 1 1 1180 -1 979252 0 1244 1440 2 300183 53932 1 4 796716 1 1244 1 1 1 55 0 1.8 36 5.20125 3 4 12
1055 2 1 1050 -1 932775 2 1269 1280 1 300185 53927 1 2 932775 2 1269 1 1 1 56 0 1.7 34 16.7275 3 3 6
1300 1 1 1280 -1 864516 0 1270 1440 2 300185 53928 3 2 932775 2 1269 1 1 1 56 0.64 4 19 16.7275 1 4 6
420 4 1 390 -1 717279 1 154 930 1 300185 53925 3 1 864517 0 1270 1 1 1 56 4.698 20 45 16.7275 1 1 6
970 2 1 930 -1 932775 2 1269 1050 1 300185 53926 3 4 717279 1 154 1 1 1 56 4.648 20 45 16.7275 2 2 6
405 4 1 360 -1 828690 1 1260 540 1 300187 53917 6 1 1097062 0 1254 3 1 1 57 1.125 7 25 16.46 1 1 6
600 2 1 540 -1 932775 2 1269 655 1 300187 53918 6 4 828690 1 1260 3 1 1 57 1.125 5 21 16.46 2 2 6
660 2 1 655 -1 932775 2 1269 750 1 300187 53919 1 2 932775 2 1269 1 1 1 57 0 1.7 34 16.46 3 3 6
755 2 1 750 -1 932775 6 1269 815 1 300187 53920 1 2 932775 2 1269 1 1 1 57 0 1.7 34 16.46 4 4 6
820 2 1 815 -1 932775 4 1269 820 1 300187 53921 1 2 932775 6 1269 1 1 1 57 0 1.7 34 16.46 5 5 6
825 3 1 820 -1 932775 1 1269 1040 1 300187 53922 1 2 932775 4 1269 1 1 1 57 0 1.7 34 16.46 6 6 6
1060 4 1 1040 -1 932775 2 1269 1290 1 300187 53923 1 3 932775 1 1269 1 1 1 57 0 1.7 34 16.46 7 7 6
1355 1 1 1290 -1 1078627 6 1254 1440 2 300187 53924 6 4 932775 2 1269 3 1 1 57 1.125 10 26 16.46 1 8 6
725 1 1 675 -1 1150634 0 1271 1005 2 300191 53914 1 2 932775 2 1269 1 1 1 58 0 6.35 127 4.88375 1 2 6
585 2 1 540 -1 932775 2 1269 675 1 300191 53913 1 1 1150634 0 1271 1 1 1 58 0 6.35 127 4.88375 1 1 6
1020 4 1 1005 -1 1111711 5 1267 1040 1 300191 53915 1 1 1150634 0 1271 1 1 2 59 0 4 80 4.88375 1 3 6
1055 1 1 1040 -1 1150634 0 1271 1440 2 300191 53916 1 4 1111711 5 1267 1 1 2 59 0 4 80 4.88375 1 4 6
1105 4 1 1095 1 679287 7 1269 1265 1 300192 53910 4 4 1124996 4 1265 1 1 2 61 0.916 5 21 4.88375 2 4 10
1005 4 1 990 -1 907281 7 1262 1035 1 300192 53907 3 1 819457 0 1263 1 1 1 60 0.437587752525 4 20 4.88375 1 1 6
1270 4 1 1265 1 1079972 5 1269 1290 2 300192 53911 4 4 679287 7 1269 1 1 2 61 0.354516060606 1 8 4.88375 1 5 10
1295 1 1 1290 1 819446 0 1263 1440 2 300192 53912 4 4 1079972 5 1269 1 1 2 61 0.698 6 22 4.88375 2 6 10
1040 1 1 1035 -1 819447 0 1263 1080 2 300192 53908 3 4 907281 7 1262 1 1 1 60 0.480944848485 4 19 4.88375 1 2 6
