arrtm dadtyp day deptm dorp dpcl dpurp dtaz endacttm half hhno id mode oadtyp opcl opurp otaz pathtype pno tour tour_id travcost travdist travtime trexpfac tseg tsvid vot
905 1 1 890 -1 135733 0 1280 1440 2 14106075 150 1 3 173847 2 1280 1 4 1 19187 0.0 3.8 76.0 973.989875 1 2 7
540 4 1 530 1 454381 7 1323 550 1 14106074 151 3 1 408974 0 1323 1 1 1 19183 0.524082727273 3.0 16.0 423.731602201 1 1 6
555 3 1 550 1 433153 6 1351 630 1 14106074 152 3 4 454381 7 1323 1 1 1 19183 0.299041666667 5.0 21.0 423.731602201 2 2 6
645 4 1 630 1 440391 7 1351 870 1 14106074 153 3 3 433153 6 1351 1 1 1 19183 0.702 4.0 20.0 423.731602201 3 3 6
880 1 1 870 1 408974 0 1323 1440 2 14106074 154 3 4 440391 7 1351 1 1 1 19183 1.038 5.0 21.0 423.731602201 1 4 6
640 4 1 630 1 419912 5 1323 650 1 14106074 155 3 1 408974 0 1323 1 2 1 19184 0.514774090909 3.0 16.0 420.808374293 1 1 6
665 4 1 650 1 401305 7 1323 715 1 14106074 156 3 4 419912 5 1323 1 2 1 19184 0.766 3.0 16.0 420.808374293 2 2 6
730 4 1 715 1 422513 5 1323 735 2 14106074 157 3 4 401305 7 1323 1 2 1 19184 0.345257979798 3.0 16.0 420.808374293 1 3 6
750 1 1 735 1 408974 0 1323 1440 2 14106074 158 3 4 422513 5 1323 1 2 1 19184 0.405076540404 3.0 16.0 420.808374293 2 4 6
555 4 1 505 -1 487700 7 1352 555 1 14106073 159 1 1 488502 0 1350 1 1 2 19182 0.0 5.7 114.0 196.183242552 1 1 7
585 1 1 555 -1 488502 0 1350 600 2 14106073 160 1 4 487700 7 1352 1 1 2 19182 0.0 5.7 114.0 196.183242552 1 2 7
615 3 1 600 1 671291 6 1351 710 1 14106073 161 3 1 488502 0 1350 1 1 1 19181 1.434 5.0 21.0 196.183242552 1 3 7
720 4 1 710 1 455561 5 1323 735 2 14106073 162 3 3 671291 6 1351 1 1 1 19181 0.489428939394 5.0 21.0 196.183242552 1 4 7
760 1 1 735 1 488502 0 1350 1440 2 14106073 163 3 4 455561 5 1323 1 1 1 19181 1.436 5.0 21.0 196.183242552 2 5 7
1030 4 1 1020 1 639666 5 1353 1040 1 14106072 164 3 1 627764 0 1353 1 1 1 19180 0.868 6.0 28.0 382.649663125 1 1 6
1045 4 1 1040 1 651837 4 1353 1080 1 14106072 165 3 4 639666 5 1353 1 1 1 19180 0.223909090909 6.0 28.0 382.649663125 2 2 6
