hhno id pagey pdiary pgend pno ppaidprk pproxy pptyp psaudist psautime psexpfac pspcl pstaz pstyp ptpass puwarrp puwdepp puwmode pwaudist pwautime pwpcl pwtaz pwtyp
14106018 13951 50 -1 2 2 1 1 4 -1.0 -1.0 869.5623 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106018 13952 14 -1 1 3 1 3 7 11.91 30.855 869.5623 728123 712 1 5 -1 -1 -1 -1.0 -1 0 -1 0
14106018 13953 8 -1 1 4 1 3 7 1.47810511364 6.19563249298 869.5623 890990 1297 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106017 13948 70 -1 1 1 1 1 3 -1.0 -1.0 340.2905 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106017 13949 70 -1 2 2 1 2 3 -1.0 -1.0 340.2905 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106016 13945 30 -1 1 1 -1 1 1 -1.0 -1.0 256.7337 0 -1 0 3 -1 -1 -1 12.945 33 1067464 947 1
14106016 13946 30 -1 2 2 1 3 4 -1.0 -1.0 256.7337 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106016 13947 2 -1 2 3 1 -1 8 6.46 17.99 256.7337 833785 1301 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106015 13944 80 -1 1 1 1 1 3 -1.0 -1.0 271.3016 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106014 13940 30 -1 1 1 0 2 1 -1.0 -1.0 2240.9007 0 -1 0 0 -1 -1 -1 26.515 58 883814 1242 1
14106014 13941 30 -1 2 2 -1 1 2 -1.0 -1.0 2240.9007 0 -1 0 0 -1 -1 -1 12.94 34 1240758 1333 2
14106014 13942 2 -1 2 3 1 -1 8 -1.0 -1.0 2240.9007 0 -1 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106014 13943 8 -1 1 4 1 3 7 0.55455 3.86396129032 2240.9007 731876 1317 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106013 13938 50 -1 2 1 -1 1 1 -1.0 -1.0 219.1571 0 -1 0 0 -1 -1 -1 9.705 25 977458 1304 1
14106013 13939 50 -1 1 2 1 2 1 -1.0 -1.0 219.1571 0 -1 0 0 -1 -1 -1 10.065 31 932550 37 1
14106012 13934 60 -1 2 1 -1 1 2 -1.0 -1.0 608.8413 0 -1 0 0 -1 -1 -1 7.8 26 749154 347 2
14106012 13935 50 -1 1 2 1 1 1 -1.0 -1.0 608.8413 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 1
14106012 13936 21 -1 1 3 -1 2 1 -1.0 -1.0 608.8413 0 -1 0 0 -1 -1 -1 8.76 29 789464 11 1
14106012 13937 21 -1 2 4 -1 1 5 -1.0 -1.0 608.8413 0 -1 1 0 -1 -1 -1 8.76 29 789464 11 2
14106011 13933 30 -1 1 1 -1 1 1 -1.0 -1.0 358.9855 0 -1 0 0 -1 -1 -1 2.38807083333 8 777816 956 1
14106010 13932 21 -1 1 1 1 1 4 0.953962878788 6.75997833072 254.5341 1179496 735 2 1 -1 -1 -1 -1.0 -1 0 -1 0
