fraction_with_jobs_outside hh515 hhcu5 hhexpfac hhftw hhhsc hhincome hhno hhoad hhparcel hhptw hhret hhsize hhtaz hhuni hhvehs hhwkrs hownrent hrestype samptype zone_id
0 0 0 37.399 0 0 -1 300852 0 2773 0 0 1 1287 1 2 0 -1 -1 2 2117
0 0 0 10.265 0 0 -1 300869 0 112539 0 0 1 1282 1 0 0 -1 -1 3 2317
0 0 0 4.161 0 0 -1 300895 0 827797 0 0 1 1257 1 1 0 -1 -1 3 359
0 0 0 12.76 0 0 -1 300898 0 1223133 0 0 1 1264 1 1 0 -1 -1 2 279
0 0 0 11.864 0 0 -1 300900 0 913568 0 0 1 1268 1 0 0 -1 -1 2 46
0 0 0 4.161 0 0 -1 300901 0 1089310 0 0 1 1272 1 1 0 -1 -1 3 1854
0 0 0 3.876 0 0 -1 300902 0 1208473 0 0 1 1274 1 1 0 -1 -1 3 2641
0 0 0 4.161 0 0 -1 300923 0 829127 0 0 1 1251 1 0 0 -1 -1 3 573
0 0 0 7.92 0 0 -1 300926 0 1143647 0 0 1 1333 1 0 0 -1 -1 3 928
0 0 0 7.92 0 0 -1 300927 0 1058673 0 0 1 1333 1 1 0 -1 -1 3 981
0 0 0 13.11 0 0 -1 300941 0 1225046 0 0 1 1264 1 0 0 -1 -1 2 282
0 0 0 4.161 0 0 -1 300944 0 698860 0 0 1 1255 1 0 0 -1 -1 3 596
0 0 0 12.636 0 0 -1 300946 0 1125281 0 0 1 1263 1 0 0 -1 -1 2 284
0 0 0 33.263 0 0 -1 300962 0 576855 0 0 1 1320 1 2 0 -1 -1 2 3213
0 0 0 41.942 0 0 -1 300963 0 695499 0 0 1 1325 1 1 0 -1 -1 2 1076
0 0 0 10.707 0 0 -1 300965 0 529069 0 0 1 1354 1 1 0 -1 -1 3 3362
0 0 0 10.791 0 0 -1 300974 0 813023 0 0 1 1325 1 0 0 -1 -1 3 1191
0 0 0 42.828 0 0 -1 300976 0 731975 0 0 1 1317 1 0 0 -1 -1 1 1188
