TAZ,TAD,OldDistric,County,District,New DistrictName
688,52.0,9.0,King,6,East Side
689,52.0,9.0,King,6,East Side
690,52.0,9.0,King,6,East Side
691,52.0,9.0,King,6,East Side
692,52.0,9.0,King,6,East Side
693,52.0,9.0,King,6,East Side
694,52.0,9.0,King,6,East Side
695,52.0,9.0,King,6,East Side
696,52.0,9.0,King,6,East Side
697,52.0,9.0,King,6,East Side
698,52.0,9.0,King,6,East Side
699,52.0,9.0,King,6,East Side
700,52.0,9.0,King,6,East Side
701,52.0,9.0,King,6,East Side
702,52.0,9.0,King,6,East Side
703,52.0,9.0,King,6,East Side
704,52.0,9.0,King,6,East Side
705,52.0,9.0,King,6,East Side
706,52.0,9.0,King,6,East Side
707,52.0,9.0,King,6,East Side
708,52.0,9.0,King,6,East Side
709,52.0,9.0,King,6,East Side
710,52.0,9.0,King,6,East Side
711,52.0,9.0,King,6,East Side
712,52.0,9.0,King,6,East Side
713,52.0,9.0,King,6,East Side
714,52.0,9.0,King,6,East Side
715,52.0,9.0,King,6,East Side
716,52.0,9.0,King,6,East Side
717,52.0,9.0,King,6,East Side
718,52.0,9.0,King,6,East Side
719,52.0,9.0,King,6,East Side
720,53.0,9.0,King,6,East Side
721,52.0,9.0,King,6,East Side
722,52.0,9.0,King,6,East Side
723,52.0,9.0,King,6,East Side
724,52.0,9.0,King,6,East Side
725,52.0,9.0,King,6,East Side
726,52.0,9.0,King,6,East Side
727,52.0,9.0,King,6,East Side
728,52.0,9.0,King,6,East Side
729,52.0,9.0,King,6,East Side
730,52.0,9.0,King,6,East Side
731,52.0,9.0,King,6,East Side
732,52.0,9.0,King,6,East Side
733,52.0,9.0,King,6,East Side
734,52.0,9.0,King,6,East Side
735,52.0,9.0,King,6,East Side
736,52.0,9.0,King,6,East Side
737,52.0,9.0,King,6,East Side
738,52.0,9.0,King,6,East Side
739,52.0,9.0,King,6,East Side
740,52.0,9.0,King,6,East Side
741,52.0,9.0,King,6,East Side
742,52.0,9.0,King,6,East Side
743,52.0,9.0,King,6,East Side
744,52.0,9.0,King,6,East Side
745,52.0,9.0,King,6,East Side
746,52.0,9.0,King,6,East Side
747,52.0,9.0,King,6,East Side
748,52.0,9.0,King,6,East Side
749,52.0,9.0,King,6,East Side
750,52.0,9.0,King,6,East Side
751,52.0,9.0,King,6,East Side
752,52.0,9.0,King,6,East Side
753,52.0,9.0,King,6,East Side
754,52.0,9.0,King,6,East Side
755,52.0,9.0,King,6,East Side
756,52.0,9.0,King,6,East Side
757,52.0,9.0,King,6,East Side
758,52.0,9.0,King,6,East Side
759,52.0,9.0,King,6,East Side
760,52.0,9.0,King,6,East Side
761,52.0,9.0,King,6,East Side
762,52.0,9.0,King,6,East Side
763,52.0,9.0,King,6,East Side
764,52.0,9.0,King,6,East Side
765,52.0,9.0,King,6,East Side
766,52.0,9.0,King,6,East Side
767,52.0,9.0,King,6,East Side
768,56.0,9.0,King,6,East Side
769,56.0,9.0,King,6,East Side
770,56.0,9.0,King,6,East Side
771,52.0,9.0,King,6,East Side
772,56.0,9.0,King,6,East Side
773,56.0,9.0,King,6,East Side
774,52.0,9.0,King,6,East Side
775,56.0,9.0,King,6,East Side
776,52.0,9.0,King,6,East Side
777,52.0,9.0,King,6,East Side
778,52.0,9.0,King,6,East Side
779,52.0,9.0,King,6,East Side
780,52.0,9.0,King,6,East Side
781,52.0,9.0,King,6,East Side
782,52.0,9.0,King,6,East Side
783,52.0,9.0,King,6,East Side
784,52.0,9.0,King,6,East Side
785,56.0,9.0,King,6,East Side
786,56.0,9.0,King,6,East Side
787,56.0,9.0,King,6,East Side
788,56.0,9.0,King,6,East Side
789,56.0,9.0,King,6,East Side
790,56.0,9.0,King,6,East Side
791,56.0,9.0,King,6,East Side
792,56.0,9.0,King,6,East Side
